# file...... Inverter1.csv
# date...... Tue Jan  9 14:09:31 2018
# user...... ubuntu
# host...... (null)
# target.... inverter 15
# trigger... (none)
# interval.. 1
# limit..... -2147483648
# timestamp,V_In,I_In,VA_In,VA_Out,phaseA_V_Out,phaseB_V_Out,phaseC_V_Out,phaseA_I_Out,phaseB_I_Out,phaseC_I_Out,power_A,power_B,power_C,P_Out,Q_Out,power_in,rated_power
2018-01-09 12:10:34 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:10:35 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:10:36 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:10:37 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:10:38 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:10:39 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:10:40 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:10:41 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:10:42 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:10:43 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:10:44 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:10:45 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:10:46 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:10:47 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:10:48 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:10:49 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:10:50 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
